source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	.github/documentation-program/README.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/content-model.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/current-preview-baseline.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/gitlab-pattern-audit.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia-diagrams.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/README.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/admin.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/contribute.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/get-started.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/home.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/integrate.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/operate.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/reference.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/ia/use.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-10/README.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-10/search-acceptance.json	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-11/adr-cloudflare-delivery.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-11/delivery-runbook.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-3-approval-checklist.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-5/README.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-5/acceptance-scenarios.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-5/implementation-evidence.md	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
full-chaos/dev-health-ops	.github/documentation-program/phase-5/redirects.tsv	internal-program	excluded-internal						documentation-program			False	False							Internal remediation evidence; must never enter the public build.
