source_repo	source_path	artifact_type	publication_classification	current_url	current_nav_location	content_type	primary_audience	secondary_audiences	product_area	owner	last_meaningful_review	generated	public_today	duplicate_group	known_accuracy_risk	known_usability_risk	build_dependencies	links_in	links_out	notes
full-chaos/dev-health-ops	.github/workflows/docs-cloudflare.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-guards.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-health-report.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	.github/workflows/docs-inventory-review.yml	workflow	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	AGENTS.md	repository-entry-point	external-entry-point						repository-guidance			False	False							Public repository entry point; links into documentation must be inventoried and updated at cutover.
full-chaos/dev-health-ops	Makefile	configuration	supporting-artifact						documentation-system			False	False							
full-chaos/dev-health-ops	README.md	repository-entry-point	external-entry-point						repository-guidance			False	False							Public repository entry point; links into documentation must be inventoried and updated at cutover.
full-chaos/dev-health-ops	docs-data/README.md	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/external-link-allowlist.yml	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/freshness-inventory.yml	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/admin.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/contribute.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/get-started.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/home.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/integrate.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/operate.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/reference.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/ia/use.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/redirects.tsv	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs-data/search-acceptance.json	internal-program	excluded-internal						docs-data			False	False							Non-published documentation tooling input; must never enter the public build.
full-chaos/dev-health-ops	docs/admin/data-sources/credential-lifecycle.md	markdown-page	public-nav	https://docs.fullchaos.dev/admin/data-sources/credential-lifecycle/	Administer Dev Health | Data sources | Credential lifecycle	task-guide			admin	platform-product		False	True					admin/data-sources/index.md	admin/sync-and-coverage/status-and-freshness.md	
full-chaos/dev-health-ops	docs/admin/data-sources/github.md	markdown-page	public-nav	https://docs.fullchaos.dev/admin/data-sources/github/	Administer Dev Health | Data sources | GitHub	task-guide			admin	platform-product		False	True					admin/data-sources/index.md | reference/cli/index.md		
